Round,Date,Venue,Team,Opponent,Score,OpponentScore,Possession,Shots,ShotsOnTarget,Saves,YellowCards,RedCards,Fouls,Corners,Crosses,Interceptions,Venue Role,Result
Group stage,2026-06-27,"GEHA Field at Arrowhead Stadium, Kansas City",Austria,Algeria,3.0,3.0,35,10,3,2,1,0,7,3,13,10,Away,Draw
Round of 32,2026-06-28,"SoFi Stadium, Inglewood",Canada,South Africa,1.0,0.0,42,12,7,1,2,0,16,4,12,8,Away,Win
Round of 32,2026-06-29,"Reliant Stadium, Houston",Japan,Brazil,1.0,2.0,31,5,2,4,3,0,13,2,10,5,Away,Loss
Round of 32,2026-06-29,"Gillette Stadium, Foxborough",Paraguay,Germany,,,25,7,3,6,3,0,12,6,21,13,Away,Draw
Round of 32,2026-06-29,"Estadio BBVA, Guadalupe",Morocco,Netherlands,,,70,11,5,1,1,0,15,8,18,10,Away,Draw
Round of 32,2026-06-30,"AT&T Stadium, Arlington",Norway,Côte d'Ivoire,2.0,1.0,53,9,4,4,1,0,7,3,10,6,Away,Win
Round of 32,2026-06-30,"MetLife Stadium, East Rutherford",Sweden,France,0.0,3.0,39,8,3,9,0,0,10,1,10,12,Away,Loss
Round of 32,2026-06-30,"Estadio Banorte, Coyoacán",Ecuador,Mexico,0.0,2.0,57,7,1,1,3,1,14,8,25,6,Away,Loss
Round of 32,2026-07-01,"Mercedes-Benz Stadium, Atlanta",Congo DR,England,1.0,2.0,40,7,2,5,1,0,12,3,13,3,Away,Loss
Round of 32,2026-07-01,"Lumen Field, Seattle",Senegal,Belgium,2.0,3.0,48,19,5,3,1,0,12,2,22,11,Away,Loss
Round of 32,2026-07-01,"Levi's Stadium, Santa Clara",Bosnia–Herz,United States,0.0,2.0,52,10,3,0,2,0,13,3,13,8,Away,Loss
